geo_point_2d,geo_shape,projection,stop_id,stop_name,latitude,longitude,postcode,easting,northing,gisfid,suburb,googlemaps_drive_to
"-37.9463010342, 145.1976069817","{""coordinates"": [145.1976069817, -37.9463010342], ""type"": ""Point""}",MGA2020 Zone 55,1827,Eagle Dr/Bakers Rd (Noble Park North),-37.94630103422761,145.19760698170379,3175,341633,5798612,306,Noble Park North,"https://www.google.com.au/maps/dir//-37.94630103422761,145.19760698170379/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9909289749, 145.1825100206","{""coordinates"": [145.1825100206, -37.9909289749], ""type"": ""Point""}",MGA2020 Zone 55,2036,Parkmore Rd/Chandler Rd (Keysborough),-37.99092897492995,145.182510020587,3173,340403,5793634,439,Keysborough,"https://www.google.com.au/maps/dir//-37.99092897492995,145.182510020587/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9415649632, 145.1979169439","{""coordinates"": [145.1979169439, -37.9415649632], ""type"": ""Point""}",MGA2020 Zone 55,1829,Bakers Rd/Manning Dr (Noble Park North),-37.9415649632442,145.1979169439034,3174,341650,5799138,308,Noble Park North,"https://www.google.com.au/maps/dir//-37.9415649632442,145.1979169439034/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9895439635, 145.2097130617","{""coordinates"": [145.2097130617, -37.9895439635], ""type"": ""Point""}",MGA2020 Zone 55,19817,Dandenong Station/Foster St (Dandenong),-37.98954396355115,145.20971306170398,3175,342789,5793834,441,Dandenong,"https://www.google.com.au/maps/dir//-37.98954396355115,145.20971306170398/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9826129732, 145.2060788643","{""coordinates"": [145.2060788643, -37.9826129732], ""type"": ""Point""}",MGA2020 Zone 55,1859,Hemmings St/Potter St (Dandenong),-37.98261297317564,145.20607886435323,3175,342455,5794597,313,Dandenong,"https://www.google.com.au/maps/dir//-37.98261297317564,145.20607886435323/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9807800327, 145.206419064","{""coordinates"": [145.206419064, -37.9807800327], ""type"": ""Point""}",MGA2020 Zone 55,1860,Birdwood Ave/Potter St (Dandenong),-37.98078003267309,145.20641906397753,3175,342481,5794801,314,Dandenong,"https://www.google.com.au/maps/dir//-37.98078003267309,145.20641906397753/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9623740422, 145.1991499504","{""coordinates"": [145.1991499504, -37.9623740422], ""type"": ""Point""}",MGA2020 Zone 55,20260,Irving Rd/Oakwood Ave (Dandenong North),-37.96237404223375,145.19914995044482,3175,341803,5796831,321,Dandenong North,"https://www.google.com.au/maps/dir//-37.96237404223375,145.19914995044482/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9842260457, 145.1837909008","{""coordinates"": [145.1837909008, -37.9842260457], ""type"": ""Point""}",MGA2020 Zone 55,2039,Isaac Rd/Chandler Rd (Keysborough),-37.984226045709434,145.1837909008264,3173,340501,5794380,327,Keysborough,"https://www.google.com.au/maps/dir//-37.984226045709434,145.1837909008264/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9823869843, 145.198410143","{""coordinates"": [145.198410143, -37.9823869843], ""type"": ""Point""}",MGA2020 Zone 55,2048,Belfort St/Railway Pde (Dandenong),-37.98238698430487,145.1984101430168,3175,341781,5794609,335,Dandenong,"https://www.google.com.au/maps/dir//-37.98238698430487,145.1984101430168/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9565409633, 145.1995538653","{""coordinates"": [145.1995538653, -37.9565409633], ""type"": ""Point""}",MGA2020 Zone 55,2185,Lawrence Cres/Heyington Cres (Noble Park North),-37.956540963336124,145.19955386528378,3174,341826,5797479,340,Noble Park North,"https://www.google.com.au/maps/dir//-37.956540963336124,145.19955386528378/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9485860447, 145.1973578594","{""coordinates"": [145.1973578594, -37.9485860447], ""type"": ""Point""}",MGA2020 Zone 55,2189,Hennessy Way/Bakers Rd (Noble Park North),-37.94858604471221,145.19735785937024,3175,341616,5798358,344,Noble Park North,"https://www.google.com.au/maps/dir//-37.94858604471221,145.19735785937024/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9788460235, 145.2002270641","{""coordinates"": [145.2002270641, -37.9788460235], ""type"": ""Point""}",MGA2020 Zone 55,2386,Campbell St/Benga Ave (Dandenong),-37.97884602348988,145.2002270640716,3175,341933,5795005,353,Dandenong,"https://www.google.com.au/maps/dir//-37.97884602348988,145.2002270640716/@your+location,17z/data=!4m2!4m1!3e0"
